Team,Season,Conference,Seed,Champion
Detroit Pistons,2006,Eastern,1,0
Miami Heat,2006,Eastern,2,1
Cleveland Cavaliers,2006,Eastern,3,0
New Jersey Nets,2006,Eastern,4,0
Washington Wizards,2006,Eastern,5,0
Indiana Pacers,2006,Eastern,6,0
Chicago Bulls,2006,Eastern,7,0
Milwaukee Bucks,2006,Eastern,8,0
San Antonio Spurs,2006,Western,1,0
Dallas Mavericks,2006,Western,2,0
Phoenix Suns,2006,Western,3,0
Denver Nuggets,2006,Western,4,0
Memphis Grizzlies,2006,Western,5,0
Los Angeles Clippers,2006,Western,6,0
Los Angeles Lakers,2006,Western,7,0
Sacramento Kings,2006,Western,8,0
Detroit Pistons,2007,Eastern,1,0
Cleveland Cavaliers,2007,Eastern,2,0
Toronto Raptors,2007,Eastern,3,0
Miami Heat,2007,Eastern,4,0
Chicago Bulls,2007,Eastern,5,0
New Jersey Nets,2007,Eastern,6,0
Washington Wizards,2007,Eastern,7,0
Orlando Magic,2007,Eastern,8,0
Dallas Mavericks,2007,Western,1,0
Phoenix Suns,2007,Western,2,0
San Antonio Spurs,2007,Western,3,1
Utah Jazz,2007,Western,4,0
Houston Rockets,2007,Western,5,0
Denver Nuggets,2007,Western,6,0
Los Angeles Lakers,2007,Western,7,0
Golden State Warriors,2007,Western,8,0
Boston Celtics,2008,Eastern,1,1
Detroit Pistons,2008,Eastern,2,0
Orlando Magic,2008,Eastern,3,0
Cleveland Cavaliers,2008,Eastern,4,0
Washington Wizards,2008,Eastern,5,0
Toronto Raptors,2008,Eastern,6,0
Philadelphia 76ers,2008,Eastern,7,0
Atlanta Hawks,2008,Eastern,8,0
Los Angeles Lakers,2008,Western,1,0
New Orleans Hornets,2008,Western,2,0
San Antonio Spurs,2008,Western,3,0
Utah Jazz,2008,Western,4,0
Houston Rockets,2008,Western,5,0
Phoenix Suns,2008,Western,6,0
Dallas Mavericks,2008,Western,7,0
Denver Nuggets,2008,Western,8,0
Cleveland Cavaliers,2009,Eastern,1,0
Boston Celtics,2009,Eastern,2,0
Orlando Magic,2009,Eastern,3,0
Atlanta Hawks,2009,Eastern,4,0
Miami Heat,2009,Eastern,5,0
Philadelphia 76ers,2009,Eastern,6,0
Chicago Bulls,2009,Eastern,7,0
Detroit Pistons,2009,Eastern,8,0
Los Angeles Lakers,2009,Western,1,1
Denver Nuggets,2009,Western,2,0
San Antonio Spurs,2009,Western,3,0
Portland Trail Blazers,2009,Western,4,0
Houston Rockets,2009,Western,5,0
Dallas Mavericks,2009,Western,6,0
New Orleans Hornets,2009,Western,7,0
Utah Jazz,2009,Western,8,0
Cleveland Cavaliers,2010,Eastern,1,0
Orlando Magic,2010,Eastern,2,0
Atlanta Hawks,2010,Eastern,3,0
Boston Celtics,2010,Eastern,4,0
Miami Heat,2010,Eastern,5,0
Milwaukee Bucks,2010,Eastern,6,0
Charlotte Bobcats,2010,Eastern,7,0
Chicago Bulls,2010,Eastern,8,0
Los Angeles Lakers,2010,Western,1,1
Dallas Mavericks,2010,Western,2,0
Phoenix Suns,2010,Western,3,0
Denver Nuggets,2010,Western,4,0
Utah Jazz,2010,Western,5,0
Portland Trail Blazers,2010,Western,6,0
San Antonio Spurs,2010,Western,7,0
Oklahoma City Thunder,2010,Western,8,0
Chicago Bulls,2011,Eastern,1,0
Miami Heat,2011,Eastern,2,0
Boston Celtics,2011,Eastern,3,0
Orlando Magic,2011,Eastern,4,0
Atlanta Hawks,2011,Eastern,5,0
New York Knicks,2011,Eastern,6,0
Philadelphia 76ers,2011,Eastern,7,0
Indiana Pacers,2011,Eastern,8,0
San Antonio Spurs,2011,Western,1,0
Los Angeles Lakers,2011,Western,2,0
Dallas Mavericks,2011,Western,3,1
Oklahoma City Thunder,2011,Western,4,0
Denver Nuggets,2011,Western,5,0
Portland Trail Blazers,2011,Western,6,0
New Orleans Hornets,2011,Western,7,0
Memphis Grizzlies,2011,Western,8,0
Chicago Bulls,2012,Eastern,1,0
Miami Heat,2012,Eastern,2,1
Indiana Pacers,2012,Eastern,3,0
Boston Celtics,2012,Eastern,4,0
Atlanta Hawks,2012,Eastern,5,0
Orlando Magic,2012,Eastern,6,0
New York Knicks,2012,Eastern,7,0
Philadelphia 76ers,2012,Eastern,8,0
San Antonio Spurs,2012,Western,1,0
Oklahoma City Thunder,2012,Western,2,0
Los Angeles Lakers,2012,Western,3,0
Memphis Grizzlies,2012,Western,4,0
Los Angeles Clippers,2012,Western,5,0
Denver Nuggets,2012,Western,6,0
Dallas Mavericks,2012,Western,7,0
Utah Jazz,2012,Western,8,0
Miami Heat,2013,Eastern,1,1
New York Knicks,2013,Eastern,2,0
Indiana Pacers,2013,Eastern,3,0
Brooklyn Nets,2013,Eastern,4,0
Chicago Bulls,2013,Eastern,5,0
Atlanta Hawks,2013,Eastern,6,0
Boston Celtics,2013,Eastern,7,0
Milwaukee Bucks,2013,Eastern,8,0
Oklahoma City Thunder,2013,Western,1,0
San Antonio Spurs,2013,Western,2,0
Denver Nuggets,2013,Western,3,0
Los Angeles Clippers,2013,Western,4,0
Memphis Grizzlies,2013,Western,5,0
Golden State Warriors,2013,Western,6,0
Los Angeles Lakers,2013,Western,7,0
Houston Rockets,2013,Western,8,0
Indiana Pacers,2014,Eastern,1,0
Miami Heat,2014,Eastern,2,0
Toronto Raptors,2014,Eastern,3,0
Chicago Bulls,2014,Eastern,4,0
Washington Wizards,2014,Eastern,5,0
Brooklyn Nets,2014,Eastern,6,0
Charlotte Bobcats,2014,Eastern,7,0
Atlanta Hawks,2014,Eastern,8,0
San Antonio Spurs,2014,Western,1,1
Oklahoma City Thunder,2014,Western,2,0
Los Angeles Clippers,2014,Western,3,0
Houston Rockets,2014,Western,4,0
Portland Trail Blazers,2014,Western,5,0
Golden State Warriors,2014,Western,6,0
Memphis Grizzlies,2014,Western,7,0
Dallas Mavericks,2014,Western,8,0
Atlanta Hawks,2015,Eastern,1,0
Cleveland Cavaliers,2015,Eastern,2,0
Chicago Bulls,2015,Eastern,3,0
Toronto Raptors,2015,Eastern,4,0
Washington Wizards,2015,Eastern,5,0
Milwaukee Bucks,2015,Eastern,6,0
Boston Celtics,2015,Eastern,7,0
Brooklyn Nets,2015,Eastern,8,0
Golden State Warriors,2015,Western,1,1
Houston Rockets,2015,Western,2,0
Los Angeles Clippers,2015,Western,3,0
Portland Trail Blazers,2015,Western,4,0
Memphis Grizzlies,2015,Western,5,0
